density,volume,nsites,formation_energy_per_atom,cbm,vbm,avg_atomic_volume,band_width,energy_density,stability_factor,density_squared,volume_squared,nsites_squared,doping_percent,doping_squared,doping_cubed,doping_log,doping_sqrt,doping_interaction,doping_volume_effect,doping_energy_effect,doping_band_interaction,structural_factor,electronic_factor,band_center,band_asymmetry,doping_structural_coupling,density_volume_ratio,energy_per_volume,compactness,volume_per_site,atoms_per_unit_volume,electronic_anisotropy,coordination_factor,dimensional_factor,confinement_parameter,is_mg,mg_lattice_strain,mg_electronegativity_diff,mg_size_mismatch,mg_bond_energy_diff,is_sn,sn_lattice_strain,sn_electronegativity_diff,sn_size_mismatch,sn_bond_energy_diff,is_pb,pb_lattice_strain,pb_electronegativity_diff,pb_size_mismatch,pb_bond_energy_diff,is_n,n_lattice_strain,n_electronegativity_diff,n_size_mismatch,n_bond_energy_diff,is_al,al_lattice_strain,al_electronegativity_diff,al_size_mismatch,al_bond_energy_diff,band_gap,structure_type,dopant_type,doping_percent
4.835097081422673,1118.3380707600907,80,-1.541949366625,1.5209000000000001,0.2446,13.979225884501133,1.2763000000000002,-7.455474882270077,1.541949366625,23.378163786782054,1250680.0405114016,6400,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,1.7655,0.88275,0.4999996082428832,0.0,0.004323466407735227,-0.0013787864393966284,0.07153471932295673,13.979225884501133,0.07153471932295673,0.26396574432885284,7.707241198851053,60.234658370721775,17.841685996388797,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2763,Bulk ZnO,Pure,0.0
5.110085339072356,1058.1571115126565,80,-1.543852975125,1.8226,0.605,13.226963893908206,1.2176,-7.889220453869501,1.543852975125,26.112972172602234,1119696.4726448085,6400,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,2.4276,1.2138,0.49999958935644767,0.0,0.004829231201562675,-0.0014590016532781524,0.07560313976970624,13.226963893908206,0.07560313976970624,0.23827390722618214,7.8506678243756856,56.99325971367009,16.105151237222632,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2176,Bulk ZnO,Pure,0.0
4.98360330117961,1085.0127538634717,80,-1.5460531986250001,1.6933,0.45120000000000005,13.562659423293397,1.2421,-7.704915824466846,1.5460531986250001,24.836301863528302,1177252.6760463947,6400,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,2.1445,1.07225,0.4999995974562456,0.0,0.004593128775154196,-0.0014249170741264315,0.07373185219725674,13.562659423293397,0.07373185219725674,0.24923733389975025,7.785354141335076,58.43972790126224,16.846179269672728,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2421,Bulk ZnO,Pure,0.0
4.982001878640084,1085.3615220739296,80,-1.402543445624999,1.5394,0.6094,13.56701902592412,0.93,-6.987474080978081,1.402543445624999,24.820342718773322,1178009.633598637,6400,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,2.1488,1.0744,0.49999946236616954,0.0,0.004590177353183094,-0.001292236196972408,0.07370815933029805,13.56701902592412,0.07370815933029805,0.18667194887807997,7.7845201412131715,58.45851285954701,12.617327694109433,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.93,Bulk ZnO,Pure,0.0
5.450391709469147,99.20889048362783,8,-1.7579994199999982,1.3403,0.6027,12.401111310453478,0.7376,-9.581785464019559,1.7579994199999982,29.706769786650014,9842.40395099246,64,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,1.943,0.9715,0.4999993221267325,0.0,0.05493854112166097,-0.0177201802321347,0.08063793437262781,12.401111310453478,0.08063793437262781,0.13532972294790171,1.728116921476921,24.80222262090696,9.147059702590486,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7376,Bulk ZnO,Pure,0.0
5.508144570126769,49.08434295009371,4,-1.4906765199999992,1.2834,0.8318000000000001,12.271085737523428,0.4516,-8.210861779453463,1.4906765199999992,30.339656605417005,2409.2727228424146,16,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,2.1152,1.0576,0.499998892827961,0.0,0.11221795462816218,-0.030369694904862795,0.08149238147217296,12.271085737523428,0.08149238147217296,0.08198768101498952,1.0924770709610219,19.47913440853666,5.541622319065581,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.45160000000000006,Bulk ZnO,Pure,0.0
5.70421780686615,47.397148259900405,4,-1.7908991124999991,1.5627,0.84,11.849287064975101,0.7227,-10.215678607823278,1.7908991124999991,32.53810078816887,2246.48966317098,16,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,2.4027,1.20135,0.49999930815095045,0.0,0.12034938843972838,-0.03778495496563789,0.08439326303063967,11.849287064975101,0.08439326303063967,0.12669572314193336,1.10528918497148,18.809570752014654,8.563479761857506,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7227,Bulk ZnO,Pure,0.0
5.155162725014884,125.50483150158364,12,-1.0260979225,3.7827,2.5083,10.458735958465303,1.2744,-5.289701762287211,1.0260979225,26.57570272138289,15751.4627302409,144,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,6.291,3.1455,0.49999960765881385,0.0,0.04107541250274366,-0.008175764313002185,0.09561384893655335,10.458735958465303,0.09561384893655335,0.24720849136654952,2.3967777502016707,23.94452802151981,13.32861310546818,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.2744,Bulk ZnO,Pure,0.0
4.049918983853431,66.75779396494303,4,-1.5668722149999992,0.07350000000000001,-0.7643000000000001,16.68944849123576,0.8378000000000001,-6.345705528800971,1.5668722149999992,16.401843775776403,4456.603055065784,16,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,-0.6908000000000001,-0.34540000000000004,0.4999994031995665,0.0,0.06066586001898432,-0.023471000492059718,0.05991809738501166,16.68944849123576,0.05991809738501166,0.20686833572232283,0.9860357604081997,26.492848091756724,13.982419945957318,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.8378,Bulk ZnO,Pure,0.0
6.597744974458736,245.86914906117198,24,-1.617655459166667,2.8735,2.3309,10.244547877548833,0.5425999999999997,-10.672878176122616,1.617655459166667,43.53023874799551,60451.63846006481,576,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0,5.2044,2.6022,0.49999907851257225,0.0,0.026834375112337598,-0.0065793348427142274,0.0976128973140458,10.244547877548833,0.0976128973140458,0.08224022027230792,3.8309800965484464,29.550389548776952,5.558691678357987,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5425999999999991,Bulk ZnO,Pure,0.0
