material_id,structure_type,band_gap,density,volume,nsites,avg_atomic_volume,dopant_count,volume_per_site,structural_factor,doping_structural_coupling,density_volume_ratio,compactness,coordination_factor,dimensional_factor,confinement_parameter,Zn_fraction,O_fraction,Zn_O_ratio,avg_electronegativity,electronegativity_difference,avg_atomic_radius,avg_valence_electrons,ionic_radius_mismatch,is_mg,mg_lattice_strain,mg_electronegativity_diff,mg_size_mismatch,mg_bond_energy_diff,dataset_split
mp-aaaieisy,Bulk ZnO,1.7454,6.191518308771418,122.81411478505713,10,12.281411478505714,2,12.281411478505714,0,0.0,0.05041373558411825,0.08142386579507965,2.0117958405901217,26.459498931848476,0.08142385916523427,0.1,0.6,0.16666666666666669,2.669,2.2199999999999998,1.0,4.6,0.5064582904835175,0,0.0,0.0,0.0,0.0,Training
mp-aaaieiti,Bulk ZnO,1.2817999999999996,9.407989153677173,115.08110294269355,10,11.508110294269354,2,11.508110294269354,0,0.0,0.08175094705480908,0.08689523948149556,2.055884259659941,24.79347203468693,0.08689523193071359,0.1,0.6,0.16666666666666669,2.834,1.79,0.9400000000000001,5.199999999999999,0.45496605915575217,0,0.0,0.0,0.0,0.0,Training
mp-aaaieius,Bulk ZnO,2.2964,4.6938080575818,119.39863190825193,10,11.939863190825193,2,11.939863190825193,0,0.0,0.03931207571279885,0.08375305344942462,2.0307987299860137,25.723655452548574,0.08375304643485125,0.1,0.6,0.16666666666666669,2.645,2.44,1.0,4.3999999999999995,0.5064582904835175,0,0.0,0.0,0.0,0.0,Test
mp-aaaieixf,Bulk ZnO,3.0221,9.825519208104192,128.38210770428574,10,12.838210770428574,2,12.838210770428574,0,0.0,0.07653340004929822,0.07789247410576804,1.9822807621305427,27.65908664175228,0.07789246803853099,0.1,0.6,0.16666666666666669,2.931,1.79,0.9900000000000001,4.8,0.5034317492672535,0,0.0,0.0,0.0,0.0,Training
mp-aaaieizj,Bulk ZnO,1.1028000000000002,8.716826762351513,119.48674240288989,10,11.94867424028899,2,11.94867424028899,0,0.0,0.07295225049286044,0.0836912932673453,2.0302994314092673,25.742638283168965,0.08369128626311331,0.1,0.6,0.16666666666666669,2.787,1.9,0.9550000000000001,5.0,0.46147607852140804,0,0.0,0.0,0.0,0.0,Training
mp-aaaiejbr,Bulk ZnO,2.4032,8.296274104391875,111.92784412686315,10,11.192784412686315,2,11.192784412686315,0,0.0,0.07412162870740699,0.08934327358852397,2.0750120371955623,24.114123016739544,0.08934326560630415,0.1,0.6,0.16666666666666669,2.637,2.17,0.985,4.3999999999999995,0.4937445274929645,0,0.0,0.0,0.0,0.0,Training
mp-aaaiejbu,Bulk ZnO,2.2315000000000005,5.6015094421775204,114.74911854435211,10,11.474911854435211,2,11.474911854435211,0,0.0,0.04881527207559734,0.08714663891849297,2.0578649991932427,24.721948164253316,0.08714663132395697,0.1,0.6,0.16666666666666669,2.6270000000000002,2.2199999999999998,0.995,4.3999999999999995,0.5047437902341623,0,0.0,0.0,0.0,0.0,Training
mp-aaadipzi,Bulk ZnO,0.4771000000000001,6.907602311547927,129.1601164483537,10,12.91601164483537,3,12.91601164483537,0,0.0,0.053480923535014144,0.07742328107917607,1.9782925888764615,27.826703544489096,0.07742327508481207,0.1,0.6,0.16666666666666669,2.685,2.44,0.995,4.3999999999999995,0.5092265051468613,0,0.0,0.0,0.0,0.0,Training
mp-aaadiqye,Bulk ZnO,3.0696999999999997,6.8121490879737765,128.84879570119665,10,12.884879570119665,3,12.884879570119665,0,0.0,0.052869326802023886,0.07761034897982463,1.979884605217769,27.759631522748915,0.07761034295645884,0.1,0.6,0.16666666666666669,2.661,2.62,1.0350000000000001,4.3,0.5596571966300729,0,0.0,0.0,0.0,0.0,Training
mp-aaadircg,Bulk ZnO,0.4902999999999995,8.63934543281112,124.77540128325113,10,12.477540128325113,2,12.477540128325113,0,0.0,0.06923917169538127,0.08014400191989061,2.0011992966990557,26.882045298728507,0.08014399549683009,0.1,0.6,0.16666666666666669,2.705,2.24,1.0,4.3999999999999995,0.5147815070488353,0,0.0,0.0,0.0,0.0,Training
