material_id,structure_type,band_gap,density,volume,nsites,avg_atomic_volume,dopant_count,volume_per_site,density_volume_ratio,compactness,coordination_factor,phase_indicator,confinement_parameter,Zn_fraction,O_fraction,Zn_O_ratio,avg_electronegativity,electronegativity_difference,avg_atomic_radius,avg_valence_electrons,ionic_radius_mismatch,dataset_split
mp-aaaieipq,Normal ZnO,4.540100000000001,5.818711730416606,116.79496014340394,10,11.679496014340394,1,11.679496014340394,0.04981988669247672,0.0856201328184173,0.4981988669247672,0,0.08562012548761079,0.2,0.6,0.33333333333333337,2.66,2.11,0.9400000000000001,6.8,0.44807318486447417,Training
mp-aaaieiso,Normal ZnO,3.6273,4.3526215182948516,167.3413643043481,14,11.952954593167721,1,11.952954593167721,0.026010433883927177,0.0836613234163541,0.3641460743749805,0,0.08366131641713766,0.14285714285714285,0.5714285714285714,0.25,2.59,2.08,0.9928571428571429,6.0,0.4634567887306529,Training
mp-aaadyzpi,Normal ZnO,1.5067000000000004,5.248132313954016,305.13737057985725,28,10.897763234994901,1,10.897763234994901,0.017199244677181508,0.09176194953371712,0.4815788509610822,0,0.09176194111346252,0.14285714285714285,0.5714285714285714,0.25,2.724285714285714,1.79,0.9357142857142857,7.428571428571429,0.4146099424117789,Test
mp-aaaexeef,Normal ZnO,0.1977000000000002,5.108408015574666,155.5624586171881,14,11.111604186942007,1,11.111604186942007,0.0328383083434497,0.08999600626299911,0.45973631680829585,0,0.0899959981637187,0.14285714285714285,0.5714285714285714,0.25,2.644285714285714,1.89,0.9357142857142857,7.142857142857142,0.4146099424117789,Training
mp-aaaexeiz,Normal ZnO,1.0767,3.3459283814387257,212.99077876941647,15,14.199385251294432,1,14.199385251294432,0.015709263964670317,0.07042558408708849,0.23563895947005475,0,0.07042557912732594,0.06666666666666667,0.6666666666666666,0.1,2.8379999999999996,1.81,0.8500000000000001,6.133333333333333,0.4159451654033621,Training
mp-aaaexfck,Normal ZnO,1.3392000000000002,4.17223057353499,209.57646845630157,18,11.643137136461199,1,11.643137136461199,0.019907915160317816,0.08588750508386941,0.3583424728857207,0,0.08588749770720652,0.1111111111111111,0.6666666666666666,0.16666666666666666,2.8388888888888886,1.81,0.8499999999999999,6.444444444444445,0.41594516540336224,Training
mp-aaaexggq,Normal ZnO,0.32879999999999976,4.552170151013764,174.57091544470765,14,12.469351103193404,1,12.469351103193404,0.026076337592325045,0.08019663507140318,0.3650687262925506,0,0.08019662863990341,0.14285714285714285,0.5714285714285714,0.25,2.644285714285714,1.89,0.9357142857142857,7.142857142857142,0.4146099424117789,Test
mp-aaafdnwp,Normal ZnO,0.8378,4.049918989511721,66.75779396494303,4,16.68944849123576,0,16.68944849123576,0.06066585919499712,0.05991809738501166,0.24266343677998847,0,0.05991809379483347,0.5,0.5,1.0,2.545,1.79,0.9750000000000001,9.0,0.3846153846149902,Training
mp-aaabrtdm,Normal ZnO,2.9471,7.460968405295869,341.6466705049437,30,11.38822235016479,1,11.38822235016479,0.021838258726275657,0.08781001716088989,0.6551477617882696,0,0.08781000945029145,0.26666666666666666,0.6,0.4444444444444445,2.7039999999999997,1.94,0.9133333333333333,7.466666666666667,0.4214340896097124,Training
mp-aaabrubh,Normal ZnO,1.7134999999999998,4.656972835739083,297.18951959754264,24,12.38289664989761,1,12.38289664989761,0.015670043904561518,0.08075654899439613,0.3760810537094764,0,0.08075654247277646,0.16666666666666666,0.6666666666666666,0.25,2.993333333333333,1.79,0.8166666666666667,7.0,0.38180177416013883,Training
mp-aaabrucz,2D ZnO,2.0865,4.674877142050278,148.02565690797132,12,12.335471408997611,1,12.335471408997611,0.03158153260806099,0.08106702750497159,0.3789783912967319,1,0.08106702093310918,0.16666666666666666,0.6666666666666666,0.25,2.993333333333333,1.79,0.8166666666666667,7.0,0.38180177416013883,Training
mp-aaabrvju,Normal ZnO,0.6364999999999998,6.335912957995504,376.3967520761127,28,13.442741145575454,1,13.442741145575454,0.016833070174530153,0.07438958982923957,0.4713259648868443,0,0.07438958429542891,0.14285714285714285,0.5714285714285714,0.25,2.71,1.79,0.9785714285714284,6.0,0.4511397705210703,Test
mp-aaabrvmu,Normal ZnO,1.7738000000000005,6.495587778455964,916.057575643052,64,14.313399619422688,1,14.313399619422688,0.007090807329228623,0.0698646042581695,0.45381166907063186,0,0.06986459937710691,0.1875,0.5625,0.3333333333333333,2.519375,2.34,1.078125,6.375,0.5348356283362615,Test
mp-aaabrwdr,2D ZnO,2.2854,3.9331346465582175,306.34727526673333,24,12.764469802780555,1,12.764469802780555,0.01283881056325658,0.07834246274625245,0.3081314535181579,1,0.07834245660871146,0.16666666666666666,0.6666666666666666,0.25,2.8449999999999998,1.79,0.8583333333333333,7.0,0.42596914501853883,Training
mp-aaabryls,2D ZnO,2.1911,4.083392969306654,295.0744861655783,24,12.294770256899097,1,12.294770256899097,0.013838515855880472,0.08133539538397305,0.3321243805411313,1,0.08133538876852706,0.16666666666666666,0.6666666666666666,0.25,2.8449999999999998,1.79,0.8583333333333333,7.0,0.42596914501853883,Training
mp-aaabryuq,Normal ZnO,0.1149,5.731355852340831,195.097888591396,20,9.7548944295698,1,9.7548944295698,0.029376821370770936,0.10251264195835083,0.5875364274154187,0,0.10251263144951016,0.2,0.6,0.33333333333333337,2.704,1.89,0.91,7.4,0.4175824175819587,Validation
mp-aaabryxt,Normal ZnO,1.5065,6.352314087841562,510.9208721343043,36,14.19224644817512,1,14.19224644817512,0.012433068253548818,0.07046100866777034,0.44759045712775747,0,0.07046100370301696,0.2222222222222222,0.5555555555555556,0.39999999999999997,2.522222222222222,2.34,1.0666666666666667,6.666666666666666,0.5238454566945154,Test
mp-aaabryyb,Normal ZnO,3.406,3.001792353337714,419.1326790984824,36,11.642574419402289,1,11.642574419402289,0.0071619143432871705,0.08589165625890312,0.2578289163583381,0,0.08589164888152714,0.1111111111111111,0.6666666666666666,0.16666666666666666,3.152222222222222,1.79,0.6944444444444444,6.444444444444445,0.33504626546146843,Training
mp-aaabsawc,Normal ZnO,0.9178000000000006,8.837312136690986,1684.837676012535,99,17.018562383965,1,17.018562383965,0.005245200921883964,0.0587593697656981,0.5192748912665125,0,0.05875936631303476,0.010101010101010102,0.6060606060606061,0.016666666666666666,2.8768686868686872,1.79,0.9914141414141414,5.6767676767676765,0.4903325150297688,Training
mp-aaabscgq,Normal ZnO,4.627,3.0952891903587787,783.8888670825116,64,12.248263548164244,1,12.248263548164244,0.003948632665150911,0.08164422622583745,0.2527124905696583,0,0.08164421956005832,0.0625,0.6875,0.09090909090909091,3.015625,1.79,0.746875,6.125,0.30993425538339636,Validation
mp-aaabsibr,Normal ZnO,2.9448000000000003,7.690484164899555,662.9010501174878,60,11.048350835291464,1,11.048350835291464,0.011601255046941462,0.09051124596855901,0.6960753028164877,0,0.09051123777627411,0.26666666666666666,0.6,0.4444444444444445,2.7039999999999997,1.94,0.9133333333333333,7.466666666666667,0.4214340896097124,Validation
mp-aaabsigq,2D ZnO,2.0896,4.626070941839747,299.1747288859557,24,12.465613703581488,1,12.465613703581488,0.015462773020980711,0.0802206793647625,0.3711065525035371,1,0.08022067292940561,0.16666666666666666,0.6666666666666666,0.25,2.993333333333333,1.79,0.8166666666666667,7.0,0.38180177416013883,Validation
mp-aaabsiin,Normal ZnO,3.3595,2.9785887130984294,844.7955675243292,72,11.733271771171239,1,11.733271771171239,0.003525810058759381,0.08522771989795801,0.2538583242306754,0,0.08522771263419439,0.1111111111111111,0.6666666666666666,0.16666666666666666,3.152222222222222,1.79,0.6944444444444444,6.444444444444445,0.33504626546146843,Validation
mp-aaabsjeu,Normal ZnO,2.6398,5.460574977066493,974.5814930297074,64,15.227835828589178,1,15.227835828589178,0.0056029947321163094,0.06566921335746023,0.3585916628554438,0,0.06566920904501494,0.125,0.625,0.2,2.8812499999999996,1.79,0.89375,6.75,0.42462008344736446,Training
mp-aaabsjgk,2D ZnO,2.1404,4.11838754770997,1266.5583928301792,88,14.392709009433855,1,14.392709009433855,0.003251636535490179,0.0694796232831873,0.28614401512313575,1,0.06947961845576958,0.18181818181818182,0.6363636363636364,0.28571428571428575,2.8854545454545453,1.79,0.8363636363636364,6.909090909090909,0.3807452149590446,Validation
mp-aaabsjkk,Normal ZnO,3.0117999999999996,5.301934680277574,1003.7421497753174,64,15.683471090239335,1,15.683471090239335,0.005282168011159257,0.06376139530887098,0.33805875271419245,0,0.06376139124335571,0.125,0.625,0.2,2.8812499999999996,1.79,0.89375,6.75,0.42462008344736446,Training
